Upazila,উপজিলা
Gopalpur,গোপালপুর
Gosairhat,গোসাইরহাট
Gowainghat,গোয়াইনঘাট
Gulshan,গুলশান
Gurudaspur,গুরুদাসপুর
Habiganj Sadar,হবিগঞ্জ সদর
Haim Char,হাইমচর
Hajiganj,হাজীগঞ্জ
Hakimpur,হাকিমপুর
Haluaghat,হালুয়াঘাট
Harinakunda,হরিণাকুন্ড
Haripur,হরিপুর
Harirampur,হরিরামপুর
Hathazari,হাটহাজারী
Hatibandha,হাতিবান্ধা
Hatiya,হাতিয়া
Hazaribagh,হাজারীবাগ
Hizla,হিজলা
Homna,হোমনা
Hossainpur,হোসেনপুর
Ishwardi,ঈশ্বরদী
Ishwarganj,ঈশ্বরগঞ্জ
Islampur,ইসলামপুর
Itna,ইটনা
Jagannathpur,জগন্নাথপুর
Jaintiapur,জৈন্তাপুর
Jaldhaka,জলঢাকা
Jamalganj,জামালগঞ্জ
Jamalpur Sadar,জামালপুর সদর
Jatrabari,যাত্রাবাড়ী
Jhalokati Sadar,ঝালকাঠি সদর
Jhenaidah Sadar,ঝিনাইদহ সদর
Jhenaigati,ঝিনাইগাতি
Jhikargachha,ঝিকরগাছা
Jiban Nagar,জীবননগর
Joypurhat Sadar,জয়পুরহাট সদর
Jurai Chhari,জুরাছড়ি
Juri,জুড়ী
Kabirhat,কবিরহাট
Kachua,কচুয়া
Kadamtali,কদমতলী
Kafrul,কাফরুল
Kahaloo,কাহালু
Kaharole,কাহারোল
Kala Para,কলাপাড়া
Kalabagan,কলাবাগান
Kalai,কালাই
Kalaroa,কলারোয়া
Kalia,কালিয়া
Kaliakair,কালিয়াকৈর
Kaliganj,কালিগঞ্জ
Kalihati,কালিহাটি
Kalkini,কালকিনি
Kalmakanda,কালমাকান্দা
Kalukhali,কালুখালি
Kamalganj,কামালগঞ্জ
Kamalnagar,কমলনগর
Kamarkhanda,কামারখন্দ
Kamrangir Char,কামরাঙ্গীর চর
Kanaighat,কানাইঘাট
Kanthalia,কাঠালিয়া
Kapasia,কাপাসিয়া
Kaptai,কাপ্তাই
Karimganj,করিমগঞ্জ
Kasba,কসবা
Kashiani,কাশিয়ানী
Katiadi,কটিয়াদি
Kaunia,কাউনিয়া
Kawkhali,কাউখালী
Kawkhali (Betbunia),কাউখালী (বেতবুনিয়া)
Kazipur,কাজিপুর
Kendua,কেন্দুয়া
Keraniganj,কেরানীগঞ্জ
Keshabpur,কেশবপুর
Khagrachhari Sadar,খাগড়াছড়ি সদর
Khaliajuri,খালিয়াজুড়ি
Khalishpur,খালিশপুর
Khan Jahan Ali,খান জাহান আলী
Khansama,খানসামা
Khetlal,খেতলাল
Khilgaon,খিলগাঁও
Khilkhet,খিলক্ষেত
Khoksa,খোকসা
Khulna Sadar,খুলনা সদর
Khulshi,খুলশী
Kishoreganj,কিশোরগঞ্জ
Kishoreganj Sadar,কিশোরগঞ্জ সদর
Kotali Para,কোটালী পাড়া
Kotchandpur,কোটচাঁদপুর
Kotwali,কোতওয়ালি
Koyra,কয়রা
Kulaura,কুলাউড়া
Kuliar Char,কুলিয়ার চর
Kumarkhali,কুমারখালী
Kurigram Sadar,কুড়িগ্রাম সদর
Kushtia Sadar,কুষ্টিয়া সদর
Kutubdia,কুতুবদিয়া
Lakhai,লাখাই
Laksam,লাকসাম
Lakshmichhari,লক্ষ্মীছড়ি
Lakshmipur Sadar,লক্ষ্মীপুর সদর
Lalbagh,লালবাগ
Lalmohan,লালমোহন
Lalmonirhat Sadar,লালমনিরহাট সদর
Lalpur,লালপুর
Lama,লামা
Langadu,লংগদু
Lohagara,লোহাগাড়া
Lohajang,লৌহজং
Madan,মদন
Madarganj,মাদারগঞ্জ
Madaripur Sadar,মাদারিপুর সদর
Madhabpur,মাধবপুর
Madhukhali,মধুখালী
Madhupur,মধুপুর
Magura Sadar,মাগুরা সদর
Mahadebpur,মহাদেবপুর
Mahalchhari,মহলছড়ি
Maheshkhali,মহেশখালী
Maheshpur,মহেশপুর
Manda,মান্দা
Manikchhari,মানিকছড়ি
Manikganj Sadar,মানিকগঞ্জ সদর
Manirampur,মনিরামপুর
Manohardi,মানোহরদী
Manoharganj,মনোহরগঞ্জ
Manpura,মনপুরা
Mathbaria,মঠবাড়িয়া
Matihar,মতিহার
Matiranga,মাটিরাঙ্গা
Matlab Dakshin,মতলব দক্ষিণ
Matlab Uttar,মতলব উত্তর
Maulvi Bazar Sadar,মৌলভীবাজার সদর
Meghna,মেঘনা
Mehendiganj,মেহেন্দিগঞ্জ
Meherpur Sadar,মেহেরপুর সদর
Melandaha,মেলান্দহ
Mirpur,মিরপুর
Mirsharai,মীরসরাই
Mirzaganj,মির্জাগঞ্জ
Mirzapur,মির্জাপুর
Mitha Pukur,মিঠাপুকুর
Mithamain,মিঠামইন
Mohammadpur,মোহাম্মদপুর
Mohanganj,মোহনগঞ্জ
Mohanpur,মোহনপুর
Mollahat,মোল্লাহাট
Mongla,মংলা
Morrelganj,মোড়েলগঞ্জ
Motijheel,মতিঝিল
Mujib Nagar,মুজিব নগর
Muksudpur,মুকসুদপুর
Muktagachha,মুক্তাগাছা
Muladi,মুলাদি
Munshiganj Sadar,মুন্সিগঞ্জ সদর
Muradnagar,মুরাদনগর
Mymensingh Sadar,ময়মনসিংহ সদর
Nabiganj,নবীগঞ্জ
Nabinagar,নবীনগর
Nachole,নাচোল
Nagarkanda,নাগরকান্দা
Nagarpur,নগরপুর
Nageshwari,নাগেশ্বরী
Naikhongchhari,নাইক্ষ্যংছড়ি
Nakla,নকলা
Nalchity,নলছিটি
Nalitabari,নালিতাবাড়ী
Nandail,নান্দাইল
Nandigram,নন্দীগ্রাম
Nangalkot,নাঙ্গলকোট
Naniarchar,নানিয়ারচর
Naogaon Sadar,নওগাঁ সদর
Narail Sadar,নড়াইল সদর
Narayanganj Sadar,নারায়ণগঞ্জ সদর
Naria,নড়িয়া
Narsingdi Sadar,নরসিংদী সদর
Nasirnagar,নাসিরনগর
Natore Sadar,নাটোর সদর
Nawabganj,নবাবগঞ্জ
Nawabganj Sadar,নবাবগঞ্জ সদর
Nazirpur,নাজিরপুর
Nesarabad (Swarupkati),নেছারাবাদ (স্বরূপকাঠি)
Netrokona Sadar,নেত্রকোনা সদর
New Market,নিউ মার্কেট
Niamatpur,নিয়ামতপুর
Nikli,নিকলি
Nilphamari Sadar,নীলফামারী সদর
Noakhali Sadar (Sudharam),নোয়াখালী সদর (সুধারাম)
Paba,পাবা
Pabna Sadar,পাবনা সদর
Pahartali,পাহাড়তলী
Paikgachha,পাইকগাছা
Pakundia,পাকুন্দিয়া
Palash,পলাশ
Palashbari,পলাশবাড়ি
Pallabi,পল্লবী
Paltan,পল্টন
Panchagarh Sadar,পঞ্চগড় সদর
Panchbibi,পাঁচবিবি
Panchhari,পাঁচছড়ি
Pangsha,পাংশা
Parbatipur,পার্বতীপুর
Parshuram,পরশুরাম
Patgram,পাটগ্রাম
Patharghata,পাথরঘাটা
Patiya,পটিয়া
Patnitala,পত্নীতলা
Patuakhali Sadar,পটুয়াখালী সদর
Pekua,পেকুয়া
Phulbari,ফুলবাড়ী
Phulpur,ফুলপুর
Phultala,ফুলতলা
Pirgachha,পীরগাছা
Pirganj,পীরগঞ্জ
Pirojpur Sadar,পিরোজপুর সদর
Porsha,পোরশা
Purbadhala,পূর্বধলা
Puthia,পুঠিয়া
Rajapur,রাজাপুর
Rajarhat,রাজারহাট
Rajasthali,রাজস্থলী
Rajbari Sadar,রাজবাড়ি সদর
Rajnagar,রাজনগর
Rajoir,রাজৈর
Rajpara,রাজপাড়া
Ramganj,রামগঞ্জ
Ramgarh,রামগড়
Ramgati,রামগতি
Ramna,রমনা
Rampal,রামপাল
Rampura,রামপুরা
Ramu,রামু
Rangamati Sadar,রাঙ্গামাটি সদর
Rangpur Sadar,রংপুর সদর
Rangunia,রাঙ্গুনিয়া
Raninagar,রানীনগর
Ranisankail,রাণীশংকৈল
Raozan,রাউজান
Raumari,রৌমারী
Rowangchhari,রোয়াংছড়ি
Royganj,রায়গঞ্জ
Roypur,রায়পুর
Roypura,রায়পুরা
Ruma,রুমা
Rupganj,রূপগঞ্জ
Rupsa,রূপসা
Sabujbagh,সবুজবাগ
Sadarpur,সদরপুর
Sadullapur,সাদুল্লাপুর
Saghatta,সাঘাটা
Saidpur,সৈয়দপুর
Sakhipur,সখিপুর
Saltha,সালথা
Sandwip,সন্দ্বীপ
Santhia,সাঁথিয়া
Sapahar,সাপাহার
Sarail,সরাইল
Sarankhola,শরণখোলা
Sariakandi,সারিয়াকান্দি
Sarishabari,সরিষাবাড়ি
Satkania,সাতকানিয়া
Satkhira Sadar,সাতক্ষীরা সদর
Saturia,সাটুরিয়া
Savar,সাভার
Senbagh,সেনবাগ
Serajdikhan,সিরাজদিখান
Shah Ali,শাহ আলী
Shah Makhdum,শাহ মখদুম
Shahbagh,শাহবাগ
Shahjadpur,শাহজাদপুর
Shahrasti,শাহরাস্তি
Shailkupa,শৈলকুপা
Shajahanpur,শাজাহানপুর
Shalikha,শালিখা
Shariatpur Sadar,শরীয়তপুর সদর
Sharsha,শার্শা
Sher-e-bangla Nagar,শেরেবাংলা নগর
Sherpur,শেরপুর
Sherpur Sadar,শেরপুর সদর
Shib Char,শিব চর
Shibalaya,শিবালয়
Shibganj,শিবগঞ্জ
Shibpur,শিবপুর
Shyamnagar,শ্যামনগর
Shyampur,শ্যামপুর
Singair,সিঙ্গাইর
Singra,সিংড়া
Sirajganj Sadar,সিরাজগঞ্জ সদর
Sitakunda,সীতাকুণ্ড
Sonadanga,সোনাডাঙ্গা
Sonagazi,সোনাগাজী
Sonaimuri,সোনাইমুড়ি
Sonargaon,সোনারগাঁ
Sonatola,সোনাতলা
Sreebardi,শ্রীবরদী
Sreemangal,শ্রীমঙ্গল
Sreenagar,শ্রীনগর
Sreepur,শ্রীপুর
Subarnachar,সুবর্ণচর
Sujanagar,সুজানগর
Sulla,সুল্লা
Sunamganj Sadar,সুনামগঞ্জ সদর
Sundarganj,সুন্দরগঞ্জ
Sutrapur,সূত্রাপুর
Sylhet Sadar,সিলেট সদর
Tahirpur,তাহিরপুর
Tala,তালা
Tangail Sadar,টাঙ্গাইল সদর
Tanore,তানোর
Taraganj,তারাগঞ্জ
Tarail,তারাইল
Tarash,তাড়াশ
Tazumuddin,তজুমদ্দিন
Tejgaon,তেজগাঁও
Tejgaon Ind. Area,তেজগাঁও ইন্ডাস্ট্রি এলাকা
Teknaf,টেকনাফ
Tentulia,তেতুলিয়া
Terokhada,তেরখাদা
Thakurgaon Sadar,ঠাকুরগাঁও সদর
Thanchi,থানচি
Titas,তিতাস
Tongibari,টঙ্গিবাড়ী
Trishal,ত্রিশাল
Tungi Para,টুংগী পাড়া
Turag,তুরাগ
Ukhia,উখিয়া
Ulipur,উলিপুর
Ullah Para,উল্লাপাড়া
Uttar Khan,উত্তর খান
Uttara,উত্তরা
Wazirpur,ওয়াজিরপুর
Zakiganj,জাকিগঞ্জ
Zanjira,জাজিরা
Zianagar,জিয়ানগর
